Bundesland;Anzahl_Ladeeinrichtungen;Anzahl_Ladepunkte;Gesamtleistung_kW;Pkw_Bestand;BEV_Bestand;PHEV_Bestand;BEV_Neuzulassungen_2025;Pkw_Neuzulassungen_2025;BEV_je_Ladepunkt;BEV_Anteil_am_Bestand_%;BEV_Anteil_Neuzul_%
Saarland;765;1471;66736,0;654016,0;21056,0;13062,0;4662,0;29728,0;14,3;3,22;15,7
Rheinland-Pfalz;4207;7536;418480,0;2655433,0;102047,0;53482,0;21889,0;107934,0;13,5;3,84;20,3
Nordrhein-Westfalen;21277;38989;1573269,0;10664594,0;454782,0;257763,0;116529,0;574233,0;11,7;4,26;20,3
Hessen;8555;15462;700923,0;3917833,0;179213,0;103727,0;52881,0;322461,0;11,6;4,57;16,4
Niedersachsen;10723;19382;937964,0;5002902,0;221823,0;105607,0;67874,0;304220,0;11,4;4,43;22,3
Bayern;21627;37700;1648421,0;8468258,0;395271,0;195577,0;115631,0;620224,0;10,5;4,67;18,6
Schleswig-Holstein;4106;7571;318158,0;1759157,0;74561,0;33733,0;15341,0;69671,0;9,8;4,24;22,0
Baden-Württemberg;18130;33957;1127925,0;6988847,0;322060,0;180792,0;84297,0;401155,0;9,5;4,61;21,0
Brandenburg;2852;4742;251819,0;1501091,0;41653,0;26686,0;8492,0;49820,0;8,8;2,77;17,0
Hamburg;2808;5071;184205,0;807162,0;42674,0;28058,0;13378,0;90794,0;8,4;5,29;14,7
Berlin;4452;6908;194918,0;1222641,0;48888,0;32396,0;11666,0;59523,0;7,1;4,0;19,6
Bremen;849;1518;50505,0;301648,0;10643,0;7284,0;3264,0;16140,0;7,0;3,53;20,2
Sachsen;3627;6820;296254,0;2188519,0;47668,0;34199,0;11925,0;87817,0;7,0;2,18;13,6
Sachsen-Anhalt;1871;3552;203423,0;1222830,0;24247,0;18089,0;6827,0;46786,0;6,8;1,98;14,6
Thüringen;2168;3964;225395,0;1190050,0;26937,0;18584,0;6216,0;47332,0;6,8;2,26;13,1
Mecklenburg-Vorpommern;1629;2884;167132,0;891039,0;18347,0;12477,0;3977,0;28362,0;6,4;2,06;14,0
